Imagine Dragons;JID;{'label': 'Enemy (with JID) - from the series Arcane League of Legends'}
Imagine Dragons;Arcane;{'label': 'Enemy - from the series Arcane League of Legends'}
Kendrick Lamar;Jay Rock;{'label': 'Money Trees'}
Kendrick Lamar;Beyoncï¿;{'label': 'AMERICA HAS A PROBLEM (feat. Kendrick Lamar)'}
Kendrick Lamar;Baby Keem;{'label': 'Savior'}
Kendrick Lamar;Blxst;{'label': 'Die Hard'}
Kendrick Lamar;Amanda Reifer;{'label': 'Die Hard'}
Kendrick Lamar;Sampha;{'label': 'Father Time (feat. Sampha)'}
Kendrick Lamar;Kodak Black;{'label': 'Silent Hill'}
Kendrick Lamar;Taylour Paige;{'label': 'We Cry Together'}
Kendrick Lamar;Sam Dew;{'label': 'Savior'}
Kendrick Lamar;Ghostface Killah;{'label': 'Purple Hearts'}
Kendrick Lamar;Summer Walker;{'label': 'Purple Hearts'}
Kendrick Lamar;Tanna Leone;{'label': 'Mr. Morale'}
Kendrick Lamar;Beth Gibbons;{'label': 'Mother I Sober (feat. Beth Gibbons of Portishead)'}
Jasiel Nuï¿½ï¿½ez;Peso P;{'label': 'Rosa Pastel'}
Taiu;Milo j;{'label': 'Rara Vez'}
Sebastian Yatra;Beï¿½ï;{'label': 'VAGABUNDO'}
Calvin Harris;Ellie Goulding;{'label': 'Miracle (with Ellie Goulding)'}
Calvin Harris;Rihanna;{'label': 'We Found Love'}
Calvin Harris;Jessie Reyez;{'label': "I'm Not Here To Make Friends"}
Calvin Harris;Young Thug;{'label': 'Potion (with Dua Lipa & Young Thug)'}
Calvin Harris;Halsey;{'label': 'Stay With Me (with Justin Timberlake, Halsey, & Pharrell)'}
Calvin Harris;Pharrell Williams;{'label': 'Stay With Me (with Justin Timberlake, Halsey, & Pharrell)'}
Calvin Harris;Justin Timberlake;{'label': 'Stay With Me (with Justin Timberlake, Halsey, & Pharrell)'}
Ray Dalton;Ryan Lewis;{'label': "Can't Hold Us (feat. Ray Dalton)"}
Ray Dalton;Macklemore;{'label': "Can't Hold Us (feat. Ray Dalton)"}
Ryan Lewis;Macklemore;{'label': "Can't Hold Us (feat. Ray Dalton)"}
A Boogie Wit da Hoodie;NAV;{'label': 'Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)'}
Travis Scott;Young Thug;{'label': 'Trance (with Travis Scott & Young Thug)'}
Travis Scott;Drake;{'label': 'Pussy & Millions (feat. Travis Scott)'}
Young Thug;Drake;{'label': 'Way 2 Sexy (with Future & Young Thug)'}
Sachin-Jigar;Shadab Faridi;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
Sachin-Jigar;Altamash Faridi;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
Sachin-Jigar;Amitabh Bhattacharya;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
Sachin-Jigar;Varun Jain;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
Sachin-Jigar;Arijit Singh;{'label': 'Apna Bana Le (From "Bhediya")'}
Sachin-Jigar;Amitabha Bhattacharya;{'label': 'Phir Aur Kya Chahiye (From "Zara Hatke Zara Bachke")'}
Shadab Faridi;Altamash Faridi;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
Shadab Faridi;Amitabh Bhattacharya;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
Shadab Faridi;Varun Jain;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
Altamash Faridi;Amitabh Bhattacharya;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
Altamash Faridi;Varun Jain;{'label': 'Tere Vaaste (From "Zara Hatke Zara Bachke")'}
